marca,modello,versione,passo,shock_abs_tallone,shock_abs_mesopiede,energy_ret_tallone,energy_ret_mesopiede,rigidezza_flex,peso,altezza_tallone,altezza_mesopiede,drop,morbidezza_intersuola,morbidezza_intersuola_2,rocker,piastra,larghezza_mesopiede,larghezza_dita,altezza_dita,test_trazione,traspirab,rigidezza_torsionale,rigidezza_tallone,larghezza_suola_mesop,larghezza_suola_tallone,resistenza_tomaia,resistenza_tendach,resistenza_suola,spessore_suola,spessore_soletta,soletta_rimovibile,variazrigidezza_temp,elementi_catarinfr,spessore_linguetta,tipo_linguetta, prezzo ,anello_tallone
brooks,Hyperion max,2.0,tempo,130,106,0.57,0.62,22.4,262,33.2,26.4,6.8,20.9,17.6,"5,5x9",nylon,94.8,73.7,26.6,0.46,3.0,4.0,3.0,114.0,86.4,3.0,3.0,0.8,3.0,2.8,y,0.19,n,1.9,semi integr,170.0,y/n
brooks,Hyperion elite,5.0,race,151,107,0.77,0.78,20.1,204,37.6,26.4,11.2,11.6,11.0,5x9,carbonio,92.7,71.5,24.1,0.59,5.0,5.0,2.0,110.9,84.5,3.0,4.0,2.2,2.0,3.3,y,0.08,n,0.7,integrale,310.0,y/n
brooks,Ghost max,3.0,daily tr,134,116,0.51,0.51,18.7,303,38.5,31.2,7.3,17.0,,4x7,#N/D,95.3,73.4,28.1,0.51,3.0,4.0,4.0,119.1,101.5,3.0,4.0,0.8,3.3,5.8,y,0.4,y,8.8,std,160.0,n
brooks,Ghost,17.0,daily tr,140,100,0.54,0.57,10.9,289,36.2,25.8,10.4,17.0,,"4x7,5",#N/D,95.2,69.7,24.8,0.55,3.0,3.0,5.0,116.8,95.4,3.0,4.0,0.8,4.0,5.7,y,0.39,n,9.0,std,150.0,n
brooks,Hyperion GTS,2.0,daily tr,123,97,0.52,0.6,12.6,220,33.0,22.3,10.7,20.0,,"4,5x9",#N/D,93.8,72.7,30.3,0.46,3.0,4.0,3.0,112.3,86.7,3.0,4.0,0.8,3.3,2.8,y,0.3,n,5.8,semi integr,150.0,y/n
brooks,Hyperion elite PB,4.0,race,148,102,0.67,0.72,24.0,197,38.5,26.8,11.7,19.5,19.5,"4,5x10",carbonio,91.3,71.0,26.4,0.55,5.0,5.0,2.0,111.0,75.4,2.0,5.0,1.0,2.6,2.3,y,0.03,n,5.6,std,250.0,y
brooks,Launch,11.0,daily tr,129,103,0.55,0.6,14.9,237,33.5,24.0,9.5,24.1,20.5,4x9,#N/D,93.2,73.2,25.5,0.51,4.0,4.0,4.0,112.0,84.1,3.0,1.0,0.8,3.0,5.0,y,0.16,n,5.0,semi integr,120.0,n
brooks,Glycerin GTS,22.0,daily tr,122,109,0.53,0.58,14.6,305,37.8,27.7,10.1,24.1,27.6,4x9,#N/D,95.6,73.2,26.4,0.44,5.0,4.0,3.0,119.1,97.1,3.0,4.0,0.5,3.4,4.9,y,0.25,y,11.3,std,180.0,y
brooks,Glycerin,22.0,daily tr,133,109,0.55,0.58,15.0,293,38.5,28.2,10.3,17.3,24.4,4x8,#N/D,96.3,73.7,23.6,0.44,5.0,4.0,3.0,117.2,89.7,3.0,4.0,0.5,3.4,5.0,y,0.33,y,11.5,std,180.0,y
brooks,Glycerin MAX,,daily tr,148,138,0.52,0.52,18.3,305,42.3,35.7,6.6,19.9,19.9,6x9,#N/D,94.5,74.3,28.8,0.5,5.0,4.0,3.0,118.8,,3.0,4.0,1.2,3.1,6.0,y,0.17,y,14.0,std,200.0,y/n
ON,CloudBoom Strike,,race,139,127,0.72,0.73,17.8,201,38.1,34.9,3.2,16.9,24.4,"4,5x8",carbonio,95.6,73.4,27.2,0.62,4.0,5.0,1.0,114.1,84.8,1.0,4.0,1.0,1.6,6.6,y,0.06,n,1.2,std,280.0,y/n
ON,CloudBoom Echo,3.0,race,133,108,0.73,0.71,22.0,225,38.6,28.4,10.2,23.5,,,carbonio,92.2,70.4,27.0,0.38,5.0,5.0,2.0,107.0,78.1,2.0,2.0,1.3,2.4,2.9,y,0.09,n,2.3,semi integr,300.0,n
